timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint,air_temperature,outdoor_temperature
2012-01-01 00:00:00 EST,+2.76326,+1.33967,+68,+71.22,+17.062
2012-01-01 00:01:00 EST,+2.76288,+1.33977,+68,+70.9908,+17.0425
2012-01-01 00:02:00 EST,+2.7625,+1.33986,+68,+70.7955,+17.0231
2012-01-01 00:03:00 EST,+2.76212,+1.33996,+68,+70.6285,+17.0037
2012-01-01 00:04:00 EST,+2.76174,+1.34005,+68,+70.4853,+16.9844
2012-01-01 00:05:00 EST,+2.76136,+1.34015,+68,+70.3618,+16.9651
2012-01-01 00:06:00 EST,+2.76098,+1.34024,+68,+70.2549,+16.9459
2012-01-01 00:07:00 EST,+2.7606,+1.34034,+68,+70.1543,+16.9267
2012-01-01 00:08:00 EST,+2.76023,+1.34043,+68,+70.0663,+16.9076
2012-01-01 00:09:00 EST,+2.75985,+1.34052,+68,+69.9887,+16.8885
2012-01-01 00:10:00 EST,+2.75948,+1.34062,+68,+69.9199,+16.8695
2012-01-01 00:11:00 EST,+2.75911,+1.34071,+68,+69.8584,+16.8505
2012-01-01 00:12:00 EST,+2.75874,+1.3408,+68,+69.803,+16.8316
2012-01-01 00:13:00 EST,+2.75837,+1.3409,+68,+69.7528,+16.8127
2012-01-01 00:14:00 EST,+2.758,+1.34099,+68,+69.7069,+16.7939
2012-01-01 00:15:00 EST,+2.75763,+1.34108,+68,+69.6645,+16.7751
2012-01-01 00:16:00 EST,+2.75726,+1.34117,+68,+69.6252,+16.7564
2012-01-01 00:17:00 EST,+2.75689,+1.34127,+68,+69.5883,+16.7377
2012-01-01 00:18:00 EST,+2.75653,+1.34136,+68,+69.5536,+16.7191
2012-01-01 00:19:00 EST,+2.75616,+1.34145,+68,+69.5206,+16.7005
2012-01-01 00:20:00 EST,+2.7558,+1.34154,+68,+69.4891,+16.682
2012-01-01 00:21:00 EST,+2.75544,+1.34163,+68,+69.4588,+16.6635
2012-01-01 00:22:00 EST,+2.75508,+1.34172,+68,+69.4295,+16.6451
2012-01-01 00:23:00 EST,+2.75472,+1.34181,+68,+69.4011,+16.6267
2012-01-01 00:24:00 EST,+2.75436,+1.3419,+68,+69.3734,+16.6084
2012-01-01 00:25:00 EST,+2.754,+1.34199,+68,+69.3464,+16.5901
2012-01-01 00:26:00 EST,+2.75364,+1.34208,+68,+69.3198,+16.5719
2012-01-01 00:27:00 EST,+2.75329,+1.34217,+68,+69.2937,+16.5537
2012-01-01 00:28:00 EST,+2.75293,+1.34226,+68,+69.2679,+16.5356
2012-01-01 00:29:00 EST,+2.75258,+1.34235,+68,+69.2424,+16.5175
2012-01-01 00:30:00 EST,+2.75223,+1.34244,+68,+69.2171,+16.4995
2012-01-01 00:31:00 EST,+2.75188,+1.34253,+68,+69.1921,+16.4815
2012-01-01 00:32:00 EST,+2.75153,+1.34262,+68,+69.1673,+16.4636
2012-01-01 00:33:00 EST,+2.75118,+1.3427,+68,+69.1426,+16.4457
2012-01-01 00:34:00 EST,+2.75083,+1.34279,+68,+69.118,+16.4279
2012-01-01 00:35:00 EST,+2.75048,+1.34288,+68,+69.0935,+16.4101
2012-01-01 00:36:00 EST,+2.75013,+1.34297,+68,+69.0691,+16.3924
2012-01-01 00:37:00 EST,+2.74979,+1.34305,+68,+69.0448,+16.3747
2012-01-01 00:38:00 EST,+2.74944,+1.34314,+68,+69.0206,+16.3571
2012-01-01 00:39:00 EST,+2.7491,+1.34323,+68,+68.9964,+16.3395
2012-01-01 00:40:00 EST,+2.74876,+1.34331,+68,+68.9722,+16.322
2012-01-01 00:41:00 EST,+2.74842,+1.3434,+68,+68.9481,+16.3045
2012-01-01 00:42:00 EST,+2.74808,+1.34348,+68,+68.924,+16.2871
2012-01-01 00:43:00 EST,+2.74774,+1.34357,+68,+68.9,+16.2697
2012-01-01 00:44:00 EST,+2.7474,+1.34366,+68,+68.876,+16.2524
2012-01-01 00:45:00 EST,+2.74706,+1.34374,+68,+68.852,+16.2351
2012-01-01 00:46:00 EST,+2.74673,+1.34383,+68,+68.828,+16.2179
2012-01-01 00:47:00 EST,+2.74639,+1.34391,+68,+68.804,+16.2007
2012-01-01 00:48:00 EST,+2.74606,+1.34399,+68,+68.7801,+16.1836
2012-01-01 00:49:00 EST,+2.74572,+1.34408,+68,+68.7562,+16.1665
2012-01-01 00:50:00 EST,+2.74539,+1.34416,+68,+68.7323,+16.1495
2012-01-01 00:51:00 EST,+2.74506,+1.34425,+68,+68.7083,+16.1325
2012-01-01 00:52:00 EST,+2.74473,+1.34433,+68,+68.6845,+16.1156
2012-01-01 00:53:00 EST,+2.7444,+1.34441,+68,+68.6606,+16.0987
2012-01-01 00:54:00 EST,+2.74407,+1.34449,+68,+68.6367,+16.0819
2012-01-01 00:55:00 EST,+2.74375,+1.34458,+68,+68.6128,+16.0651
2012-01-01 00:56:00 EST,+2.74342,+1.34466,+68,+68.589,+16.0484
2012-01-01 00:57:00 EST,+2.7431,+1.34474,+68,+68.5651,+16.0317
2012-01-01 00:58:00 EST,+2.74277,+1.34482,+68,+68.5413,+16.0151
2012-01-01 00:59:00 EST,+2.74245,+1.34491,+68,+68.5174,+15.9985
2012-01-01 01:00:00 EST,+2.74213,+1.34499,+68,+68.4936,+15.982
2012-01-01 01:01:00 EST,+2.74186,+1.34505,+68,+68.4698,+15.9685
2012-01-01 01:02:00 EST,+2.7416,+1.34512,+68,+68.446,+15.9549
2012-01-01 01:03:00 EST,+2.74133,+1.34519,+68,+68.4222,+15.9413
2012-01-01 01:04:00 EST,+2.74107,+1.34525,+68,+68.3984,+15.9276
2012-01-01 01:05:00 EST,+2.7408,+1.34532,+68,+68.3747,+15.9139
2012-01-01 01:06:00 EST,+2.74053,+1.34539,+68,+68.3507,+15.9001
2012-01-01 01:07:00 EST,+2.74026,+1.34546,+68,+68.3218,+15.8863
2012-01-01 01:08:00 EST,+2.73999,+1.34553,+68,+68.2936,+15.8724
2012-01-01 01:09:00 EST,+2.73972,+1.34559,+68,+68.266,+15.8585
2012-01-01 01:10:00 EST,+2.73945,+1.34566,+68,+68.2388,+15.8445
2012-01-01 01:11:00 EST,+2.73918,+1.34573,+68,+68.2119,+15.8305
2012-01-01 01:12:00 EST,+2.7389,+1.3458,+68,+68.1854,+15.8164
2012-01-01 01:13:00 EST,+2.73863,+1.34587,+68,+68.1592,+15.8023
2012-01-01 01:14:00 EST,+2.73835,+1.34594,+68,+68.1332,+15.7881
2012-01-01 01:15:00 EST,+2.73808,+1.34601,+68,+68.1074,+15.7739
2012-01-01 01:16:00 EST,+2.7378,+1.34608,+68,+68.0817,+15.7596
2012-01-01 01:17:00 EST,+2.73752,+1.34615,+68,+68.0562,+15.7453
2012-01-01 01:18:00 EST,+2.73724,+1.34622,+68,+68.0307,+15.7309
2012-01-01 01:19:00 EST,+2.73696,+1.34629,+68,+68.0054,+15.7165
2012-01-01 01:20:00 EST,+2.73668,+1.34636,+68,+67.9802,+15.702
2012-01-01 01:21:00 EST,+2.7364,+1.34644,+68,+67.955,+15.6875
2012-01-01 01:22:00 EST,+2.73612,+1.34651,+68,+67.9299,+15.6729
2012-01-01 01:23:00 EST,+2.73583,+1.34658,+68,+67.9048,+15.6583
2012-01-01 01:24:00 EST,+2.73555,+1.34665,+68,+67.8798,+15.6436
2012-01-01 01:25:00 EST,+2.73526,+1.34672,+68,+67.8548,+15.6289
2012-01-01 01:26:00 EST,+2.73498,+1.3468,+68,+67.8299,+15.6141
2012-01-01 01:27:00 EST,+2.73469,+1.34687,+68,+67.8049,+15.5993
2012-01-01 01:28:00 EST,+2.7344,+1.34694,+68,+67.78,+15.5844
2012-01-01 01:29:00 EST,+2.73411,+1.34702,+68,+67.7551,+15.5695
2012-01-01 01:30:00 EST,+2.73382,+1.34709,+68,+67.7303,+15.5545
